Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,NUISANCE - MISCHIEF,MISCHIEF OR NUISANCE - GENERAL,5/3/2022 13:16,5/3/2022 18:06,NORTH,NORA,N2
RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,TRESPASS,DISTURBANCE - OTHER,5/3/2022 13:15,1/1/1900 0:00,NORTH,NORA,N2
ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/3/2022 13:11,5/3/2022 13:11,WEST,MARY,M2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 13:11,1/1/1900 0:00,EAST,EDWARD,E1
REPORT WRITTEN (NO ARREST),911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 13:10,5/3/2022 15:01,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/3/2022 13:03,5/3/2022 13:03,WEST,DAVID,D1
ORAL WARNING GIVEN,911,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 12:55,5/3/2022 13:10,SOUTH,OCEAN,O3
ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 12:46,5/3/2022 12:46,UNKNOWN,,W
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/3/2022 12:46,5/3/2022 12:46,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/3/2022 12:43,5/3/2022 12:43,EAST,CHARLIE,C3
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),DISTURBANCE - OTHER,5/3/2022 12:39,5/3/2022 12:47,WEST,QUEEN,Q1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - BLOCKING TRAFFIC,5/3/2022 12:35,1/1/1900 0:00,NORTH,UNION,U3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"LEWD -  (EXPOSING, FLASHING)",--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,5/3/2022 12:34,5/3/2022 12:55,NORTH,NORA,N1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - BLOCKING TRAFFIC,5/3/2022 12:19,5/3/2022 12:36,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 12:10,5/3/2022 12:17,WEST,MARY,M1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,DOWN - CHECK FOR DOWN PERSON,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 12:07,1/1/1900 0:00,NORTH,JOHN,J3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 12:07,5/3/2022 19:39,WEST,KING,K2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,MISCHIEF OR NUISANCE - GENERAL,5/3/2022 12:03,5/3/2022 12:05,SOUTH,SAM,S2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/3/2022 12:01,5/3/2022 12:10,WEST,QUEEN,Q1
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/3/2022 11:53,5/3/2022 11:53,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT","ASSIGNED DUTY - COMMUNITY,SCHOOL,SPECIAL EVENT",5/3/2022 11:48,5/3/2022 11:48,NORTH,NORA,N2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/3/2022 11:27,5/3/2022 11:27,NORTH,LINCOLN,L1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,ORDER - VIOLATION OF COURT ORDER (NON DV),"ASSAULTS - HARASSMENT, THREATS",5/3/2022 11:14,5/3/2022 22:09,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",5/3/2022 11:08,5/3/2022 12:56,NORTH,NORA,N1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,"MVC - NON INJURY, BLOCKING",TRAFFIC - MV COLLISION INVESTIGATION,5/3/2022 11:03,5/3/2022 11:31,NORTH,UNION,U1
ASSISTANCE RENDERED,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 11:02,5/3/2022 11:02,NORTH,BOY,B1
REPORT WRITTEN (NO ARREST),911,1,"DOA - CASUALTY, DEAD BODY","CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",5/3/2022 10:58,5/3/2022 11:37,WEST,MARY,M1
ASSISTANCE RENDERED,911,3,PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 10:52,5/3/2022 12:08,SOUTH,SAM,S3
ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,ASSIST OTHER AGENCY - CITY AGENCY,5/3/2022 10:42,5/3/2022 10:48,NORTH,NORA,N2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",TRAFFIC - COMMUNITY TRAFFIC COMPLAINT (CTC),5/3/2022 10:30,5/3/2022 12:03,WEST,QUEEN,Q2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/3/2022 10:24,5/3/2022 13:05,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 10:19,5/3/2022 14:46,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,5/3/2022 10:17,5/3/2022 10:30,NORTH,NORA,N2
REPORT WRITTEN (NO ARREST),911,2,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED","ASSAULTS, OTHER",5/3/2022 10:13,5/3/2022 11:40,NORTH,UNION,U3
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 10:05,5/3/2022 10:12,WEST,MARY,M2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 10:03,5/3/2022 10:31,WEST,DAVID,D3
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 9:49,5/3/2022 9:58,NORTH,UNION,U1
OTHER REPORT MADE,ONVIEW,4,SEX OFFENDER - FAILURE TO REGISTER,--SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER,5/3/2022 9:42,5/3/2022 9:42,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 9:25,5/3/2022 9:41,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,ASSIST OTHER AGENCY - CITY AGENCY,5/3/2022 9:16,5/3/2022 9:28,SOUTHWEST,FRANK,F2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/3/2022 8:55,5/3/2022 9:54,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - ROUTINE SERVICE,5/3/2022 8:55,5/3/2022 8:55,UNKNOWN,,CTY
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 8:43,5/3/2022 8:48,WEST,KING,K1
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS - HAZARDS,5/3/2022 8:37,5/3/2022 8:57,SOUTHWEST,FRANK,F1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 8:37,5/3/2022 8:53,EAST,CHARLIE,C2
REPORT WRITTEN (NO ARREST),ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",CRISIS COMPLAINT - GENERAL,5/3/2022 8:13,5/3/2022 8:13,SOUTH,OCEAN,O1
REPORT WRITTEN (NO ARREST),911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/3/2022 7:57,5/3/2022 8:02,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED",DISTURBANCE - OTHER,5/3/2022 7:56,5/3/2022 10:24,WEST,KING,K2
ASSISTANCE RENDERED,911,3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MOVING VIOLATION,5/3/2022 7:34,5/3/2022 8:13,SOUTH,ROBERT,R3
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/3/2022 7:20,5/3/2022 7:20,WEST,KING,K3
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS - HAZARDS,5/3/2022 6:54,5/3/2022 7:00,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/3/2022 6:31,5/3/2022 7:28,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,5/3/2022 6:23,5/3/2022 6:29,WEST,DAVID,D1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",DISTURBANCE - OTHER,5/3/2022 6:19,1/1/1900 0:00,WEST,DAVID,D2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),911,4,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),5/3/2022 6:15,1/1/1900 0:00,WEST,QUEEN,Q2
FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),5/3/2022 5:31,5/3/2022 5:48,NORTH,BOY,B2
ORAL WARNING GIVEN,911,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 5:31,5/3/2022 5:41,WEST,MARY,M3
ASSISTANCE RENDERED,911,2,DIST - DV - NO ASLT,DISTURBANCE - NOISE,5/3/2022 4:58,5/3/2022 5:01,NORTH,BOY,B3
STREET CHECK WRITTEN,911,3,PROPERTY - DAMAGE,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 4:56,5/3/2022 4:58,SOUTH,OCEAN,O2
ASSISTANCE RENDERED,911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),DISTURBANCE - OTHER,5/3/2022 4:45,5/3/2022 4:49,SOUTHWEST,WILLIAM,W2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",DISTURBANCE - OTHER,5/3/2022 4:17,5/3/2022 4:28,NORTH,UNION,U1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - BUSINESS CHECK,5/3/2022 4:12,5/3/2022 4:12,WEST,QUEEN,Q2
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/3/2022 4:12,5/3/2022 4:12,SOUTH,OCEAN,O1
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/3/2022 4:11,5/3/2022 4:11,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,5/3/2022 3:57,5/3/2022 3:57,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 2:53,5/3/2022 4:09,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 2:28,5/3/2022 2:28,NORTH,NORA,N3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRESPASS,PROWLER - TRESPASS,5/3/2022 2:27,5/3/2022 2:35,SOUTH,SAM,S3
-,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/3/2022 2:23,1/1/1900 0:00,NORTH,UNION,U1
-,911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURG - IP/JO - RES (INCL UNOCC STRUCTURES),5/3/2022 2:17,5/3/2022 2:20,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 2:12,5/3/2022 2:12,WEST,KING,K3
-,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",5/3/2022 2:04,5/3/2022 2:20,SOUTH,SAM,S1
-,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,5/3/2022 1:50,5/3/2022 1:50,UNKNOWN,,WP
-,911,3,SERVICE - WELFARE CHECK,SERVICE - WELFARE CHECK,5/3/2022 1:50,5/3/2022 2:02,NORTH,NORA,N2
ASSISTANCE RENDERED,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/3/2022 1:25,5/3/2022 1:29,SOUTHWEST,WILLIAM,W2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,DUI - DRIVING UNDER INFLUENCE,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 1:24,1/1/1900 0:00,SOUTH,OCEAN,O3
-,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),5/3/2022 1:14,5/3/2022 1:23,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,5/3/2022 0:57,1/1/1900 0:00,EAST,EDWARD,E2
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 0:43,5/3/2022 0:59,EAST,EDWARD,E2
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/3/2022 0:43,5/3/2022 0:54,SOUTHWEST,FRANK,F2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCE - FIGHT,5/3/2022 0:42,5/3/2022 0:44,NORTH,NORA,N3
-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",5/3/2022 0:29,5/3/2022 0:29,WEST,MARY,M2
REPORT WRITTEN (NO ARREST),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,5/3/2022 0:09,5/3/2022 0:09,NORTH,BOY,B3
-,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,5/3/2022 0:04,5/3/2022 0:06,EAST,EDWARD,E2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/3/2022 0:04,1/1/1900 0:00,WEST,KING,K3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARM-RESIDENTIAL BURG,5/3/2022 0:01,5/3/2022 1:23,SOUTHWEST,WILLIAM,W3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 23:46,5/3/2022 0:26,WEST,QUEEN,Q2
PHYSICAL ARREST MADE,911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),5/2/2022 23:24,5/2/2022 23:28,WEST,KING,K3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,CRISIS COMPLAINT - GENERAL,5/2/2022 23:17,5/2/2022 23:22,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SHOPLIFT,THEFT - SHOPLIFT,5/2/2022 23:12,5/3/2022 0:07,NORTH,LINCOLN,L1
-,911,3,THREATS - DV - NO ASSAULT,THREATS - DV - NO ASSAULT,5/2/2022 22:53,5/2/2022 23:05,SOUTH,ROBERT,R1
ASSISTANCE RENDERED,911,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",PROWLER - TRESPASS,5/2/2022 22:03,1/1/1900 0:00,WEST,MARY,M3
REPORT WRITTEN (NO ARREST),911,5,TRU - RESIDENTIAL BURGLARY,BURGLARY - UNOCC STRUC ON RESN PROP,5/2/2022 21:51,5/2/2022 21:51,SOUTHWEST,WILLIAM,W2
-,"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,5/2/2022 21:34,5/3/2022 1:31,NORTH,LINCOLN,L2
ASSISTANCE RENDERED,911,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/2/2022 21:24,5/2/2022 21:31,SOUTH,SAM,S1
-,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC STOP - OFFICER INITIATED ONVIEW,5/2/2022 21:23,5/2/2022 21:23,NORTH,NORA,N2
ASSISTANCE RENDERED,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/2/2022 21:21,5/2/2022 21:29,NORTH,BOY,B2
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",5/2/2022 21:20,5/2/2022 22:02,NORTH,BOY,B1
ASSISTANCE RENDERED,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/2/2022 21:13,5/2/2022 21:18,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,5/2/2022 21:12,5/2/2022 21:24,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM ROBB (BANK, PANIC, DURESS)",5/2/2022 21:07,5/2/2022 21:50,EAST,GEORGE,G1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SERVICE - WELFARE CHECK,MISCHIEF OR NUISANCE - GENERAL,5/2/2022 20:30,5/2/2022 20:50,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - PERSON SHOT OR SHOT AT,ASSAULTS - FIREARM INVOLVED,5/2/2022 20:26,5/2/2022 20:37,SOUTH,ROBERT,R2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,5/2/2022 20:24,5/2/2022 20:45,NORTH,UNION,U1
-,911,3,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),5/2/2022 20:09,5/2/2022 20:42,WEST,KING,K3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 20:09,5/2/2022 20:09,SOUTH,SAM,S1
ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,5/2/2022 20:00,5/2/2022 20:10,SOUTH,SAM,S2
PHYSICAL ARREST MADE,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",WARRANT SERVICES - FELONY,5/2/2022 19:45,5/2/2022 20:07,EAST,CHARLIE,C1
ASSISTANCE RENDERED,911,1,PROWLER - IP/JO,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 19:35,5/2/2022 19:44,WEST,DAVID,D3
-,"TELEPHONE OTHER, NOT 911",2,WARRANT - FELONY PICKUP,WARRANT - FELONY PICKUP,5/2/2022 19:32,5/2/2022 19:45,WEST,MARY,M2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),DISTURBANCE - OTHER,5/2/2022 19:31,1/1/1900 0:00,WEST,DAVID,D1
ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 19:19,5/2/2022 20:10,WEST,MARY,M1
ORAL WARNING GIVEN,ONVIEW,2,TRESPASS,PROWLER - TRESPASS,5/2/2022 19:13,5/2/2022 19:13,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,DOWN - CHECK FOR DOWN PERSON,DISTURBANCE - OTHER,5/2/2022 19:11,1/1/1900 0:00,NORTH,LINCOLN,L1
-,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",5/2/2022 19:07,5/2/2022 20:06,WEST,KING,K2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRESPASS,PROWLER - TRESPASS,5/2/2022 18:31,5/2/2022 22:04,WEST,MARY,M2
ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,5/2/2022 18:21,5/2/2022 18:21,NORTH,NORA,N2
REPORT WRITTEN (NO ARREST),911,2,THREATS - DV - NO ASSAULT,CRISIS COMPLAINT - GENERAL,5/2/2022 18:18,5/2/2022 18:35,NORTH,LINCOLN,L3
ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/2/2022 17:40,5/2/2022 17:40,EAST,EDWARD,E1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),5/2/2022 17:20,5/2/2022 19:55,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/2/2022 17:15,5/2/2022 17:23,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),911,3,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS","ASSAULTS - HARASSMENT, THREATS",5/2/2022 17:09,5/2/2022 17:44,SOUTHWEST,FRANK,F3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 16:41,5/2/2022 16:45,EAST,EDWARD,E1
REPORT WRITTEN (NO ARREST),ONVIEW,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,5/2/2022 16:40,5/2/2022 16:40,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,5/2/2022 16:28,1/1/1900 0:00,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),911,2,MVC - UNK INJURIES,TRAFFIC - MV COLLISION INVESTIGATION,5/2/2022 16:21,5/2/2022 16:39,WEST,KING,K2
ASSISTANCE RENDERED,911,3,NUISANCE - MISCHIEF,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,5/2/2022 16:11,5/2/2022 16:52,EAST,EDWARD,E1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - MV COLLISION INVESTIGATION,5/2/2022 16:06,5/2/2022 17:18,SOUTH,ROBERT,R1
